wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
318.5,13.295,15.971,20.419,16.585,17.132,37.234,41.043,32.753,44.373,7.468
319,13.343,16.026,20.394,16.61,17.118,37.074,40.95,32.702,44.341,7.462
319.5,13.391,15.963,20.355,16.619,17.085,36.858,40.823,32.544,44.341,7.433
320,13.431,15.882,20.45,16.636,17.094,36.705,40.748,32.399,44.414,7.473
320.5,13.405,15.847,20.52,16.657,17.126,36.747,40.662,32.2,44.425,7.537
321,13.442,15.824,20.582,16.659,17.136,36.763,40.643,32.114,44.461,7.612
321.5,13.372,15.93,20.602,16.646,17.136,36.64,40.511,31.856,44.346,7.59
322,13.381,16.038,20.618,16.668,17.103,36.525,40.314,31.561,44.144,7.535
322.5,13.34,16.055,20.64,16.636,17.116,36.405,40.082,31.321,43.981,7.44
323,13.231,16.001,20.68,16.643,17.16,36.387,39.955,31.201,43.921,7.438
323.5,13.128,15.902,20.677,16.722,17.146,36.291,39.739,31.218,43.792,7.453
324,13.055,15.754,20.636,16.725,17.147,36.151,39.517,31.216,43.707,7.505
324.5,12.965,15.577,20.613,16.66,17.126,35.85,39.24,31.05,43.584,7.5
325,12.936,15.525,20.569,16.609,17.149,35.566,39.048,30.972,43.555,7.528
325.5,12.909,15.521,20.514,16.578,17.102,35.43,38.778,30.874,43.498,7.553
326,12.939,15.53,20.411,16.467,16.988,35.152,38.608,30.849,43.463,7.549
326.5,12.915,15.561,20.347,16.328,16.916,34.883,38.4,30.705,43.413,7.551
327,12.974,15.535,20.309,16.276,16.848,34.729,38.263,30.56,43.432,7.624
327.5,12.96,15.496,20.27,16.206,16.863,34.641,38.137,30.369,43.469,7.672
328,12.918,15.42,20.252,16.215,16.855,34.684,37.995,30.177,43.513,7.749
328.5,12.873,15.256,20.126,16.204,16.792,34.535,37.724,29.937,43.452,7.775
329,12.78,15.08,19.966,16.169,16.791,34.249,37.357,29.593,43.359,7.736
329.5,12.658,14.929,19.944,16.09,16.749,33.905,37.02,29.303,43.234,7.707
330,12.603,14.88,19.87,16.05,16.697,33.601,36.687,29.096,43.17,7.659
330.5,12.465,14.849,19.768,15.999,16.557,33.256,36.282,28.894,42.99,7.575
331,12.355,14.735,19.68,15.945,16.423,32.926,35.928,28.714,42.796,7.459
331.5,12.322,14.716,19.623,15.799,16.319,32.609,35.664,28.517,42.621,7.399
332,12.313,14.723,19.556,15.685,16.211,32.294,35.327,28.217,42.488,7.371
332.5,12.285,14.772,19.463,15.523,16.075,31.959,34.866,27.821,42.319,7.318
333,12.367,14.856,19.287,15.331,15.898,31.473,34.327,27.312,42.127,7.24
333.5,12.294,14.788,19.117,15.21,15.787,30.972,33.935,26.922,41.944,7.282
334,12.247,14.759,18.952,15.12,15.771,30.523,33.521,26.546,41.806,7.272
334.5,12.133,14.617,18.897,15.038,15.64,30.151,33.136,26.23,41.667,7.315
